Service_ID,Customer_Type,Service_Type,Location,Waste_Type,Service_Cost,Service_Date,Collection_Time_Minutes,Request_Count,Customer_ID,Customer_Name,Email,Phone_Number
SVC0186,Government,Residential Pickup,Boston,Organic,776.96,2024-07-04,63,5,CUST0186,Robert Davis,david.jones@example.com,(623)-190-9530
SVC0187,Government,Bulk Waste,Houston,Mixed Waste,784.78,2024-07-05,150,1,CUST0187,Michael Rodriguez,david.jones@example.com,(160)-402-5917
SVC0188,Small Business,Bulk Waste,Miami,Paper,502.55,2024-07-06,135,4,CUST0188,David Williams,patricia.martinez@example.com,(623)-190-9530
SVC0189,Enterprise,Bulk Waste,Seattle,Plastic,870.17,2024-07-07,142,2,CUST0189,Sarah Williams,linda.davis@example.com,(778)-110-4873
SVC0190,Enterprise,Residential Pickup,Chicago,Metal,385.9,2024-07-08,70,1,CUST0190,Linda Miller,linda.davis@example.com,(253)-854-7192
SVC0191,Residential,Residential Pickup,Chicago,Metal,744.09,2024-07-09,85,4,CUST0191,John Davis,james.rodriguez@example.com,(673)-767-2535
SVC0192,Government,Industrial Waste,Miami,Plastic,523.64,2024-07-10,86,4,CUST0192,Michael Williams,robert.miller@example.com,(231)-957-5642
SVC0193,Residential,Commercial Pickup,Denver,Glass,64.61,2024-07-11,81,3,CUST0193,Jane Brown,emily.garcia@example.com,(209)-308-8117
SVC0194,Government,Commercial Pickup,Miami,Glass,690.93,2024-07-12,15,5,CUST0194,,linda.davis@example.com,(754)-402-2980
SVC0195,Enterprise,Commercial Pickup,Chicago,Plastic,498.74,2024-07-13,52,1,CUST0195,John Rodriguez,patricia.martinez@example.com,(767)-610-5622
SVC0196,Small Business,Recycling,New York,Mixed Waste,856.63,2024-07-14,61,4,CUST0196,Sarah Jones,david.jones@example.com,(334)-892-5751
SVC0197,Residential,Commercial Pickup,Boston,Glass,640.82,2024-07-15,60,1,CUST0197,Patricia Smith,david.jones@example.com,(121)-549-6212
SVC0198,Enterprise,Recycling,New York,Metal,149.07,2024-07-16,16,2,CUST0198,Jane Johnson,moc.elpmaxe@nosnhoj.enaj,(160)-402-5917
SVC0199,Government,Industrial Waste,Chicago,Metal,582.93,2024/07/17,110,1,CUST0199,Jane Jones,david.jones@example.com,(354)-544-6712
SVC0200,Small Business,Commercial Pickup,Los Angeles,Organic,303.22,2024-07-18,153,3,CUST0200,James Davis,emily.garcia@example.com,(174)-496-8225
